c_name,c_email_id,c_type,c_addr,e_name,e_designation,e_addr,e_branch,start_date,end_date,amount,payment_status,payment_mode,payment_date,sh_content,sh_domain,ser_type,sh_weight,sh_charges,sr_addr,ds_addr,current_status,sent_date,delivery_date
Todd,Jensen157@gmail.com,Retail,COLUMBUS AV / CHESTNUT ST,Jensen,Block development manager,MISSION ST / 16TH ST,CT,31-05-1974,12-07-1987,13693,PAID,COD,25-09-2004,Food and Beverages,Domestic,Regular,540,1172,500 Block of STEVENSON ST,HYDE ST / TURK ST,DELIVERED,3/20/2004,9/25/2004
Marion,Cristina330@ymail.com,Retail,5TH ST / TOWNSEND ST,Cristina,Transport manager,MISSION ST / FRANCIS ST,VA,04-03-2000,28-01-2016,80796,PAID,COD,09-03-2010,Fashion,Domestic,Regular,581,1422,CALIFORNIA ST / DAVIS ST,0 Block of STOCKTON ST,DELIVERED,2/19/2010,03-09-2010
Adrianna,Annamaria542@ymail.co.in,Retail,100 Block of EDDY ST,Annamaria,Delivery Boy,HYDE ST / GROVE ST,NC,13-01-2009,22-01-2020,19804,NOT PAID,COD,,Fashion,International,Regular,840,1061,400 Block of LEAVENWORTH ST,NEWCOMB AV / 3RD ST,NOT DELIVERED,09-07-1986,
Jaimee,Jennie676@gmail.com,Wholesale,OAKDALE AV / RANKIN ST,Jennie,Project director,2400 Block of SAN BRUNO AV,WA,31-05-2009,25-09-2023,75766,NOT PAID,CARD PAYMENT,,Hazardous Goods,Domestic,Express,873,1199,1000 Block of COLUMBUS AV,1400 Block of PHELPS ST,NOT DELIVERED,5/20/2016,
Joe,Eldon965@gmail.com,Internal Goods,SILVER AV / BOYLSTON ST,Eldon,Warehouse manager,200 Block of BATTERY ST,SC,09-08-1989,14-08-2007,74338,NOT PAID,COD,,Home Furnishing,Domestic,Express,315,937,800 Block of BRYANT ST,3800 Block of 24TH ST,NOT DELIVERED,03-06-1993,
Jennifer,Tammi464@google.co.in,Internal Goods,100 Block of MINNA ST,Tammi,Office manager,0 Block of CLARION AL,OH,24-11-1985,21-09-1994,73423,PAID,CARD PAYMENT,20-08-2012,Industrial Equipments,Domestic,Regular,955,1369,5TH ST / MISSION ST,1500 Block of HAIGHT ST,DELIVERED,05-02-2012,8/20/2012
Peyton,Elise537@google.co.in,Retail,500 Block of 2ND ST,Elise,Chief finance officer,FRANKLIN ST / IVY ST,ME,21-09-2019,19-08-2025,91842,PAID,COD,31-08-1976,Healthcare,International,Express,372,679,3600 Block of SACRAMENTO ST,SCOTT ST / CHESTNUT ST,DELIVERED,06-06-1976,8/31/1976
Joel,Twanna51@outlook.com,Retail,POWELL ST / GEARY ST,Twanna,Market analyst,4000 Block of 19TH AV,TX,04-03-2000,07-12-2014,81148,NOT PAID,COD,,Arts and crafts,Domestic,Express,182,726,1700 Block of FULTON ST,300 Block of HAIGHT ST,NOT DELIVERED,7/30/2004,
Chasity,Dawn379@gmail.com,Wholesale,100 Block of TUCKER AV,Dawn,Head of marketing,0 Block of TAYLOR ST,NM,29-04-1976,05-07-1994,96963,PAID,COD,29-09-2009,Hazardous Goods,Domestic,Regular,868,1320,3300 Block of BALBOA ST,300 Block of ELLIS ST,DELIVERED,2/23/2009,9/29/2009
Darrel,Gael721@hotmail.com,Retail,2300 Block of BUCHANAN ST,Gael,Market analyst,26TH ST / TREAT AV,KY,16-06-2010,12-05-2020,88092,NOT PAID,COD,,Healthcare,International,Express,777,1113,200 Block of KING ST,0 Block of FUENTE AV,NOT DELIVERED,10-11-1990,
Frank,Joao478@ymail.co.in,Retail,TARAVAL ST / 44TH AV,Joao,Technical support executive,800 Block of SOUTH VAN NESS AV,HI,16-09-2011,19-12-2025,66397,NOT PAID,CARD PAYMENT,,Construction,International,Regular,172,580,LASALLE AV / PHELPS ST,2000 Block of MISSION ST,NOT DELIVERED,10-08-2011,
Christina,Muriel437@yahoo.com,Wholesale,1ST ST / MISSION ST,Muriel,IT support executive,4300 Block of 25TH ST,KS,04-06-2017,09-12-2019,1714,PAID,CARD PAYMENT,30-04-1987,Fashion,International,Express,665,1257,3300 Block of 22ND ST,CALIFORNIA ST / POLK ST,DELIVERED,1/15/1987,4/30/1987
Bruno,Valeria27@ymail.com,Wholesale,0 Block of STOCKTON ST,Valeria,Inventory manager,1900 Block of 14TH AV,KS,07-06-1995,05-07-2009,5059,NOT PAID,CARD PAYMENT,,Arts and crafts,International,Express,516,1084,16TH ST / MISSOURI ST,200 Block of HARKNESS AV,NOT DELIVERED,02-06-1971,
Fabiola,Yasmeen6@outlook.com,Internal Goods,100 Block of HYDE ST,Yasmeen,In House logistics executive,1200 Block of HOWARD ST,TX,14-06-1998,26-04-2016,66582,NOT PAID,CARD PAYMENT,,Automotive,International,Regular,412,872,WINSTON DR / 19TH AV,300 Block of BEALE ST,NOT DELIVERED,03-04-1975,
Lucien,Cecilia196@hotmail.com,Internal Goods,MASON ST / TURK ST,Cecilia,Material handling executive,800 Block of BURNETT AV,PA,04-08-1988,20-05-2007,42143,PAID,CARD PAYMENT,16-06-1972,Luggage,Domestic,Express,938,1067,2100 Block of 16TH AV,5TH ST / MARKET ST,DELIVERED,06-10-1972,6/16/1972
Laverne,Brent496@ymail.co.in,Internal Goods,4400 Block of 3RD ST,Brent,Transport manager,1500 Block of UNION ST,NJ,10-03-2013,06-01-2014,27741,NOT PAID,COD,,Luggage,International,Express,854,1251,1900 Block of WASHINGTON ST,CALIFORNIA ST / FILLMORE ST,NOT DELIVERED,6/25/2012,
Joseph,Gray853@yahoo.co.in,Internal Goods,100 Block of MARIETTA DR,Gray,Non-executive director,2400 Block of CALIFORNIA ST,VT,20-05-2012,27-11-2017,696,NOT PAID,CARD PAYMENT,,Luggage,International,Regular,638,1314,MARTIN LUTHER KING JR DR / 9TH AV,0 Block of TURK ST,NOT DELIVERED,01-05-1977,
George,Kenny233@hotmail.com,Retail,1000 Block of FOLSOM ST,Kenny,Transport manager,400 Block of 26TH AV,AL,18-05-1984,15-03-2000,37660,NOT PAID,CARD PAYMENT,,Food and Beverages,Domestic,Express,230,638,3RD AV / BALBOA ST,400 Block of LAKESHORE DR,NOT DELIVERED,11/26/1995,
Velma,Jasmine269@hotmail.com,Retail,1300 Block of MARKET ST,Jasmine,Chief finance officer,14TH ST / FOLSOM ST,SD,23-06-1971,04-06-1975,16299,NOT PAID,CARD PAYMENT,,Arts and crafts,Domestic,Regular,245,611,3800 Block of MISSION ST,100 Block of PAGE ST,NOT DELIVERED,7/26/1995,
Christy,Kelly404@gmail.com,Retail,200 Block of RALSTON ST,Kelly,Chief finance officer,COLUMBUS AV / GREEN ST,IL,13-07-1995,11-08-2009,16690,PAID,CARD PAYMENT,13-09-1996,Luggage,International,Regular,916,1255,500 Block of JOHNFKENNEDY DR,VALLEJO ST / KEARNY ST,DELIVERED,02-09-1996,9/13/1996
Catherine,Alysha459@ymail.co.in,Internal Goods,100 Block of SANBUENAVENTURA WY,Alysha,Technical support executive,1500 Block of SLOAT BL,IL,17-07-1980,29-04-1982,21003,NOT PAID,CARD PAYMENT,,Construction,International,Regular,84,464,800 Block of MARKET ST,1500 Block of SLOAT BL,NOT DELIVERED,3/18/2016,
Lita,Rashawn68@hotmail.com,Retail,1400 Block of BROADWAY ST,Rashawn,Sales manager,800 Block of BRYANT ST,CT,15-12-1976,12-06-1985,93642,PAID,COD,08-09-2002,Fashion,Domestic,Regular,869,1317,100 Block of POWELL ST,GOLDEN GATE AV / LEAVENWORTH ST,DELIVERED,5/28/2002,09-08-2002
Stephon,Rita822@google.co.in,Wholesale,1300 Block of FRANKLIN ST,Rita,Manager,300 Block of GOLDEN GATE AV,WI,24-06-2010,14-03-2016,34832,NOT PAID,COD,,Arts and crafts,International,Express,271,704,500 Block of HOWARD ST,500 Block of JACKSON ST,NOT DELIVERED,3/15/2010,
Demetrius,Jaime171@hotmail.com,Wholesale,1000 Block of HYDE ST,Jaime,Office manager,800 Block of BRYANT ST,TX,09-03-1972,14-07-1982,59176,PAID,COD,01-01-1995,Luggage,International,Regular,691,1260,0 Block of MYRTLE ST,2ND ST / TOWNSEND ST,DELIVERED,1/22/1995,01-01-1995
Evan,Debora90@gmail.com,Internal Goods,2000 Block of MISSION ST,Debora,HR manager,800 Block of BRYANT ST,NM,30-04-1982,26-11-1996,3846,NOT PAID,COD,,Arts and crafts,Domestic,Regular,808,1257,900 Block of THE EMBARCADERO NORTH ST,2500 Block of OCTAVIA ST,NOT DELIVERED,9/24/2008,
Rita,Jan949@yahoo.co.in,Internal Goods,800 Block of MOSCOW ST,Jan,Head of marketing,0 Block of LATONA ST,TX,02-06-2001,08-01-2014,17651,PAID,CARD PAYMENT,17-10-1989,Home Furnishing,International,Express,997,1382,600 Block of GOETTINGEN ST,100 Block of 6TH ST,DELIVERED,01-03-1989,10/17/1989
Franklin,Van725@yahoo.com,Wholesale,NORTHPOINT ST / MASON ST,Van,Office manager,3200 Block of 20TH AV,OR,17-04-2014,04-12-2033,2282,NOT PAID,CARD PAYMENT,,Construction,International,Regular,329,977,1000 Block of SUTTER ST,800 Block of 3RD ST,NOT DELIVERED,04-02-1984,
Dianne,Jalen271@gmail.com,Retail,900 Block of NATOMA ST,Jalen,Marketing manager,LARKIN ST / SUTTER ST,MA,25-11-2013,01-05-2017,49908,NOT PAID,CARD PAYMENT,,Home Furnishing,Domestic,Regular,600,1048,100 Block of MONTGOMERY ST,600 Block of PRENTISS ST,NOT DELIVERED,05-07-1987,
Mickey,Samual419@outlook.com,Retail,LINCOLN WY / 45TH AV,Samual,Office manager,0 Block of DUNCAN ST,MN,19-10-1984,15-07-1996,68886,NOT PAID,COD,,Home Furnishing,International,Express,715,1271,0 Block of POWELL ST,600 Block of VALENCIA ST,NOT DELIVERED,01-04-1984,
Amy,Holli358@ymail.com,Wholesale,UNION ST / LAGUNA ST,Holli,IT support executive,400 Block of GROVE ST,AL,06-06-1994,24-05-2008,41456,PAID,CARD PAYMENT,27-12-1992,Home Furnishing,International,Express,957,1007,BARTLETT ST / 21ST ST,FELL ST / POLK ST,DELIVERED,05-10-1992,12/27/1992
Eileen,Latasha554@ymail.com,Wholesale,500 Block of HOLLOWAY AV,Latasha,Block development manager,3200 Block of 20TH AV,NY,18-08-2010,26-12-2026,39488,NOT PAID,COD,,Industrial Equipments,International,Express,484,863,700 Block of MARKET ST,700 Block of SWEENY ST,NOT DELIVERED,08-07-2009,
Stanley,Alexia103@ymail.com,Retail,MARKET ST / 4TH ST,Alexia,Director,2900 Block of 26TH ST,MO,05-08-2009,28-10-2014,75362,PAID,COD,24-08-2017,Electronics,International,Express,576,1077,0 Block of CAMERON WY,200 Block of DORE ST,DELIVERED,3/17/2017,8/24/2017
Douglas,Beth30@yahoo.co.in,Internal Goods,1100 Block of MASONIC AV,Beth,Delivery Boy,1100 Block of FILLMORE ST,TX,03-05-2017,08-09-2022,73137,PAID,CARD PAYMENT,20-03-2015,Construction,International,Regular,606,1021,FILLMORE ST / OFARRELL ST,HAWTHORNE ST / HARRISON ST,DELIVERED,1/28/2015,3/20/2015
Jill,Valencia714@yahoo.co.in,Wholesale,14TH ST / VALENCIA ST,Valencia,IT support executive,400 Block of EDDY ST,CA,14-08-1990,07-12-1993,77570,NOT PAID,CARD PAYMENT,,Home Furnishing,Domestic,Express,913,1385,SUTTER ST / LAGUNA ST,SOUTH VAN NESS AV / 22ND ST,NOT DELIVERED,12/21/2016,
